Player,Team,Link
"Akins, Jordan",HOU,/player/jordanakins/2560951/
"Alie-Cox, Mo",IND,/player/moalie-cox/2558832/
"Anderson, Stephen",LAC,/player/stephenanderson/2556463/
"Andrews, Mark",BAL,/player/markandrews/2560957/
"Arnold, Dan",ARI,/player/danarnold/2559385/
"Auclair, Antony",TB,/player/antonyauclair/2559044/
"Baugh, Marcus",CAR,/player/marcusbaugh/2560971/
"Baylis, Evan",GB,/player/evanbaylis/2559299/
"Beck, Andrew",DEN,/player/andrewbeck/2562626/
"Becker, Nate",BUF,/player/natebecker/2563191/
"Bell, Blake",KC,/player/blakebell/2552478/
"Blanton, Kendall",LA,/player/kendallblanton/2562234/
"Boehringer, Moritz",CIN,/player/moritzboehringer/2556261/
"Boyle, Nick",BAL,/player/nickboyle/2552402/
"Brate, Cameron",TB,/player/cameronbrate/2550656/
"Braunecker, Ben",CHI,/player/benbraunecker/2556478/
"Brown, Daniel",NYJ,/player/danielbrown/2553900/
"Brown, Pharaoh",CLE,/player/pharaohbrown/2559018/
"Brown, Billy",IND,/player/billybrown/2559147/
"Bunting, Ian",IND,/player/ianbunting/2563073/
"Burton, Trey",CHI,/player/treyburton/2550284/
"Butler, Paul",DET,/player/paulbutler/2561483/
"Butt, Jake",DEN,/player/jakebutt/2557859/
"Carlson, Stephen",CLE,/player/stephencarlson/2563044/
"Carrier, Derek",LV,/player/derekcarrier/2534241/
"Celek, Garrett",SF,/player/garrettcelek/2534820/
"Clark, Darion",CHI,/player/darionclark/2563436/
"Clay, Charles",ARI,/player/charlesclay/2495139/
"Conklin, Tyler",MIN,/player/tylerconklin/2561027/
"Conrad, C.J.",NYG,/player/c.j.conrad/2562639/
"Cook, Jared",NO,/player/jaredcook/71265/
"Croom, Jason",BUF,/player/jasoncroom/2559159/
"Culkin, Sean",LAC,/player/seanculkin/2559161/
"Cunningham, Jerome",WAS,/player/jeromecunningham/2551359/
"Daniels, Darrell",ARI,/player/darrelldaniels/2558886/
"DeValve, Seth",JAX,/player/sethdevalve/2556365/
"Dickerson, Garrett",NYG,/player/garrettdickerson/2561624/
"Dickson, Ed",SEA,/player/eddickson/497224/
"Dillon, Brandon",MIN,/player/brandondillon/2562984/
"Dissly, Will",SEA,/player/willdissly/2561046/
"Doyle, Jack",IND,/player/jackdoyle/2540232/
"Dwelley, Ross",SF,/player/rossdwelley/2561060/
"Ebron, Eric",IND,/player/ericebron/2543466/
"Eifert, Tyler",CIN,/player/tylereifert/2540148/
"Ellis, Alex",PHI,/player/alexellis/2556737/
"Ellison, Rhett",NYG,/player/rhettellison/2532835/
"Engram, Evan",NYG,/player/evanengram/2557858/
"Ertz, Zach",PHI,/player/zachertz/2540158/
"Everett, Gerald",LA,/player/geraldeverett/2557889/
"Fant, Noah",DEN,/player/noahfant/2562383/
"Fells, Darren",HOU,/player/darrenfells/2540928/
"Firkser, Anthony",TEN,/player/anthonyfirkser/2558942/
"Fort, Austin",DEN,/player/austinfort/2563037/
"Franks, Jordan",CIN,/player/jordanfranks/2561330/
"Fumagalli, Troy",DEN,/player/troyfumagalli/2560734/
"Gentry, Zach",PIT,/player/zachgentry/2562654/
"Gesicki, Mike",MIA,/player/mikegesicki/2560994/
"Goedert, Dallas",PHI,/player/dallasgoedert/2560995/
"Graham, Jaeden",ATL,/player/jaedengraham/2561622/
"Graham, Jimmy",GB,/player/jimmygraham/497236/
"Green, Virgil",LAC,/player/virgilgreen/2495288/
"Greene, Brandon",CAR,/player/brandongreene/2559455/
"Griffin, Garrett",NO,/player/garrettgriffin/2557033/
"Griffin, Ryan",NYJ,/player/ryangriffin/2541316/
"Grimble, Xavier",IND,/player/xaviergrimble/2550521/
"Harris, Demetrius",CHI,/player/demetriusharris/2541187/
"Helm, Daniel",SF,/player/danielhelm/2562284/
"Hemingway, Temarrick",CAR,/player/temarrickhemingway/2555486/
"Henry, Hunter",LAC,/player/hunterhenry/2555341/
"Hentges, Hale",WAS,/player/halehentges/2563066/
"Herndon, Chris",NYJ,/player/chrisherndon/2560738/
"Hesse, Parker",TEN,/player/parkerhesse/2563272/
"Heuerman, Jeff",DEN,/player/jeffheuerman/2552399/
"Higbee, Tyler",LA,/player/tylerhigbee/2555364/
"Hikutini, Cole",DAL,/player/colehikutini/2558953/
"Hill, Josh",NO,/player/joshhill/2541834/
"Hockenson, T.J.",DET,/player/t.j.hockenson/2562378/
"Hollister, Jacob",SEA,/player/jacobhollister/2558956/
