Player,Team,Link
"Adams, Davante",GB,/player/davanteadams/2543495/
"Adams, Rodney",IND,/player/rodneyadams/2558047/
"Addison, Bralon",MIN,/player/bralonaddison/2556457/
"Adeboyejo, Quincy",NE,/player/quincyadeboyejo/2558906/
"Agholor, Nelson",PHI,/player/nelsonagholor/2552600/
"Allen, Keenan",LAC,/player/keenanallen/2540154/
"Allison, Geronimo",GB,/player/geronimoallison/2556460/
"Amendola, Danny",DET,/player/dannyamendola/2649/
"Anderson, Robby",NYJ,/player/robbyanderson/2556462/
"Arcega-Whiteside, J.J.",PHI,/player/j.j.arcega-whiteside/2562466/
"Ateman, Marcell",LV,/player/marcellateman/2560961/
"Austin, Tavon",DAL,/player/tavonaustin/2539336/
"Bachman, Alex",NYG,/player/alexbachman/2563301/
"Batson, Cameron",TEN,/player/cameronbatson/2561521/
"Beasley, Cole",BUF,/player/colebeasley/2535698/
"Beckham, Odell",CLE,/player/odellbeckham/2543496/
"Beebe, Chad",MIN,/player/chadbeebe/2561482/
"Begelton, Reggie",GB,/player/reggiebegelton/2563437/
"Bellamy, Josh",NYJ,/player/joshbellamy/2535964/
"Benjamin, Travis",LAC,/player/travisbenjamin/2532790/
"Benson, Trinity",DEN,/player/trinitybenson/2563035/
"Berrios, Braxton",NYJ,/player/braxtonberrios/2560975/
"Blackmon, Justin",JAX,/player/justinblackmon/2533038/
"Blake, Christian",ATL,/player/christianblake/2561443/
"Board, C.J.",JAX,/player/c.j.board/2558911/
"Bolden, Victor",DET,/player/victorbolden/2558912/
"Bourne, Kendrick",SF,/player/kendrickbourne/2558914/
"Boyd, Tyler",CIN,/player/tylerboyd/2555466/
"Boykin, Miles",BAL,/player/milesboykin/2562631/
"Brown, A.J.",TEN,/player/a.j.brown/2562238/
"Brown, Fred",DEN,/player/fredbrown/2559396/
"Brown, Jaron",SEA,/player/jaronbrown/2541966/
"Brown, John",BUF,/player/johnbrown/2543847/
"Brown, Marquise",BAL,/player/marquisebrown/2562379/
"Brown, Noah",DAL,/player/noahbrown/2558091/
"Bryant, Ventell",DAL,/player/ventellbryant/2563267/
"Burnett, Deontay",PHI,/player/deontayburnett/2560985/
"Butler, Emmanuel",NO,/player/emmanuelbutler/2562636/
"Butler, Hakeem",ARI,/player/hakeembutler/2562491/
"Byrd, Damiere",ARI,/player/damierebyrd/2553499/
"Cain, Deon",PIT,/player/deoncain/2560987/
"Campbell, Parris",IND,/player/parriscampbell/2562495/
"Cantrell, Dylan",LAC,/player/dylancantrell/2560990/
"Carr, Austin",NO,/player/austincarr/2558928/
"Carter, DeAndre",HOU,/player/deandrecarter/2553502/
"Chark, D.J.",JAX,/player/d.j.chark/2561018/
"Chesson, Jehu",NYJ,/player/jehuchesson/2557866/
"Cobb, Randall",DAL,/player/randallcobb/2495448/
"Cole, Keelan",JAX,/player/keelancole/2559153/
"Coleman, Corey",NYG,/player/coreycoleman/2555333/
"Conley, Chris",JAX,/player/chrisconley/2552652/
"Cooks, Brandin",LA,/player/brandincooks/2543498/
"Cooper, Amari",DAL,/player/amaricooper/2552487/
"Cooper, Pharoh",ARI,/player/pharohcooper/2555419/
"Core, Cody",NYG,/player/codycore/2555331/
"Coutee, Keke",HOU,/player/kekecoutee/2561029/
"Cracraft, River",PHI,/player/rivercracraft/2559485/
"Crowder, Jamison",NYJ,/player/jamisoncrowder/2552415/
"Custis, Jamal",PIT,/player/jamalcustis/2562551/
"Darboh, Amara",PIT,/player/amaradarboh/2557905/
"Davis, Corey",TEN,/player/coreydavis/2557848/
"Davis, Davion",MIN,/player/daviondavis/2562985/
"Davis, Felton",KC,/player/feltondavis/2562640/
"Davis, Geremy",LAC,/player/geremydavis/2552654/
"Davis, Rashard",TEN,/player/rasharddavis/2559461/
"Davis, Reggie",CHI,/player/reggiedavis/2559324/
"Davis, Robert",PHI,/player/robertdavis/2558254/
"Davis, Trevor",MIA,/player/trevordavis/2555413/
"Dieter, Gehrig",KC,/player/gehrigdieter/2559066/
"Diggs, Stefon",MIN,/player/stefondiggs/2552608/
"Dixon, Johnnie",ARI,/player/johnniedixon/2562559/
"Doctson, Josh",NYJ,/player/joshdoctson/2555343/
"Dorsett, Phillip",NE,/player/phillipdorsett/2552424/
"Dortch, Greg",LA,/player/gregdortch/2562645/
"Doss, Keelan",LV,/player/keelandoss/2562393/
"Duhart, Jonathan",DET,/player/jonathanduhart/2563192/
"Dulin, Ashton",IND,/player/ashtondulin/2562646/
"Easley, Nick",BUF,/player/nickeasley/2563202/
"Edelman, Julian",NE,/player/julianedelman/238498/
"Enunwa, Quincy",NYJ,/player/quincyenunwa/2543828/
"Erickson, Alex",CIN,/player/alexerickson/2556519/
"Etta-Tawo, Amba",NYG,/player/ambaetta-tawo/2559170/
"Evans, Mike",TB,/player/mikeevans/2543468/
"Fitzgerald, Larry",ARI,/player/larryfitzgerald/2506106/
"Ford, Isaiah",MIA,/player/isaiahford/2558071/
"Fortson, Jody",KC,/player/jodyfortson/2563259/
"Foster, Robert",BUF,/player/robertfoster/2560729/
"Fountain, Daurice",IND,/player/dauricefountain/2559921/
"Fulgham, Travis",DET,/player/travisfulgham/2562653/
"Fuller, Will",HOU,/player/willfuller/2555346/
"Funchess, Devin",IND,/player/devinfunchess/2552458/
"Gabriel, Taylor",CHI,/player/taylorgabriel/2550617/
"Gafford, Rico",LV,/player/ricogafford/2561331/
"Gage, Russell",ATL,/player/russellgage/2561061/
"Gallup, Michael",DAL,/player/michaelgallup/2560735/
"Gibson, Shelton",PHI,/player/sheltongibson/2558258/
"Ginn, Ted",NO,/player/tedginn/2507166/
"Godwin, Chris",TB,/player/chrisgodwin/2558105/
"Golladay, Kenny",DET,/player/kennygolladay/2558052/
"Goodwin, Marquise",SF,/player/marquisegoodwin/2539964/
"Gordon, Josh",SEA,/player/joshgordon/2537931/
"Grant, Jakeem",MIA,/player/jakeemgrant/2556190/
"Grant, Ryan",GB,/player/ryangrant/2543759/
"Gray, Devin",ATL,/player/devingray/2561447/
"Grayson, Cyril",TB,/player/cyrilgrayson/2558808/
"Green, A.J.",CIN,/player/a.j.green/2495450/
"Green, Marcus",PHI,/player/marcusgreen/2562838/
"Guyton, Jalen",LAC,/player/jalenguyton/2562844/
"Hall, Emanuel",WAS,/player/emanuelhall/2562278/
"Hall, Marvin",DET,/player/marvinhall/2557034/
"Hamilton, DaeSean",DEN,/player/daeseanhamilton/2561002/
"Hansen, Chad",HOU,/player/chadhansen/2558069/
"Hardman, Mecole",KC,/player/mecolehardman/2562580/
"Hardy, Justin",ATL,/player/justinhardy/2552418/
"Harmon, Kelvin",WAS,/player/kelvinharmon/2562577/
"Harris, Deonte",NO,/player/deonteharris/2563155/
"Harris, Dwayne",LV,/player/dwayneharris/2495159/
"Harris, Maurice",NO,/player/mauriceharris/2556404/
"Harry, N'Keal",NE,/player/n'kealharry/2562659/
"Hart, Penny",SEA,/player/pennyhart/2562804/
"Hatcher, Keon",NYJ,/player/keonhatcher/2558950/
"Henderson, Quadree",PIT,/player/quadreehenderson/2561012/
"Henry, Malik",IND,/player/malikhenry/2563092/
"Herdman, Cole",TEN,/player/coleherdman/2563102/
"Higgins, Rashard",CLE,/player/rashardhiggins/2555468/
"Hill, Tyreek",KC,/player/tyreekhill/2556214/
"Hilton, T.Y.",IND,/player/t.y.hilton/2532865/
"Hodge, KhaDarel",CLE,/player/khadarelhodge/2561653/
"Hogan, Chris",CAR,/player/chrishogan/2530515/
"Hogan, Krishawn",NO,/player/krishawnhogan/2559286/
"Hollins, Alexander",MIN,/player/alexanderhollins/2562989/
"Hollins, Mack",MIA,/player/mackhollins/2558262/
"Hollister, Cody",TEN,/player/codyhollister/2558955/
"Holton, Johnny",PIT,/player/johnnyholton/2556805/
"Hopkins, DeAndre",HOU,/player/deandrehopkins/2540165/
"Howard, Bug",DEN,/player/bughoward/2558889/
"Humphrey, Lil'Jordan",NO,/player/lil'jordanhumphrey/2562668/
"Humphries, Adam",TEN,/player/adamhumphries/2553895/
"Hurd, Jalen",SF,/player/jalenhurd/2562287/
"Hurns, Allen",MIA,/player/allenhurns/2550353/
"Hyman, Ishmael",CAR,/player/ishmaelhyman/2562953/
"Inman, Dontrelle",IND,/player/dontrelleinman/2530700/
"Irwin, Trenton",CIN,/player/trentonirwin/2562900/
"Isabella, Andy",ARI,/player/andyisabella/2562669/
"Ishmael, Steve",IND,/player/steveishmael/2561130/
"Ives, Thomas",CHI,/player/thomasives/2563076/
"Jackson, DeSean",PHI,/player/deseanjackson/1581/
"James, Richie",SF,/player/richiejames/2560761/
"Jeanpiere, Damion",CAR,/player/damionjeanpiere/2562846/
"Jeffery, Alshon",PHI,/player/alshonjeffery/2533039/
"Jennings, Darius",TEN,/player/dariusjennings/2553896/
"Jennings, Gary",MIA,/player/garyjennings/2562292/
"Johnson, Anthony",PIT,/player/anthonyjohnson/2562297/
"Johnson, Diontae",PIT,/player/diontaejohnson/2562674/
"Johnson, Jon'Vea",DAL,/player/jon'veajohnson/2562839/
"Johnson, KeeSean",ARI,/player/keeseanjohnson/2562677/
"Johnson, Marcus",IND,/player/marcusjohnson/2556855/
"Johnson, Bisi",MIN,/player/bisijohnson/2562465/
"Johnson, Tyron",LAC,/player/tyronjohnson/2562932/
"Jones, Andy",MIA,/player/andyjones/2556569/
"Jones, Zay",LV,/player/zayjones/2557863/
"Jones, Marvin",DET,/player/marvinjones/2532884/
"Jones, Julio",ATL,/player/juliojones/2495454/
"Jones, Tevin",DAL,/player/tevinjones/2556572/
"Kearse, Jermaine",DET,/player/jermainekearse/2532887/
"Kemp, Marcus",KC,/player/marcuskemp/2559076/
"Kennedy, Tom",DET,/player/tomkennedy/2563319/
"Kidsy, Darvin",WAS,/player/darvinkidsy/2561359/
"Kirk, Christian",ARI,/player/christiankirk/2560781/
"Kirkwood, Keith",NO,/player/keithkirkwood/2561224/
"Kumerow, Jake",GB,/player/jakekumerow/2553548/
"Kupp, Cooper",LA,/player/cooperkupp/2557898/
"Lacy, Chris",DET,/player/chrislacy/2560783/
"Landry, Jarvis",CLE,/player/jarvislandry/2543488/
"Latimer, Cody",NYG,/player/codylatimer/2543590/
"Lazard, Allen",GB,/player/allenlazard/2560787/
"Lee, Marqise",JAX,/player/marqiselee/2543475/
"Lenoir, Lance",DAL,/player/lancelenoir/2559394/
"Lewis, Tommylee",NO,/player/tommyleelewis/2556752/
"Lockett, Tyler",SEA,/player/tylerlockett/2552430/
"Lodge, DaMarkus",CIN,/player/damarkuslodge/2562306/
"Louis, Ricardo",MIA,/player/ricardolouis/2555473/
"Malone, Josh",NYJ,/player/joshmalone/2558127/
"Matthews, Jordan",SF,/player/jordanmatthews/2543500/
"McCloud, Ray-Ray",BUF,/player/ray-raymccloud/2560801/
"McKenzie, Isaiah",BUF,/player/isaiahmckenzie/2558129/
